trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_vortex,phys_vortex,patch_vortex,new_loss_tearing,phys_tearing,patch_tearing,new_loss_coalescence,phys_coalescence,patch_coalescence,new_loss_ot,phys_ot,patch_ot,new_loss_rotor,phys_rotor,patch_rotor,param_threshold_amr
18,0.23609996291330637,0.23609996291330637,0.07753370389441648,0.632515610460531,nan,nan,nan,nan,nan,0.20344473652399697,0.0018484932025612786,0.7074353448275862,0.24104114294774157,0.02753161328473288,0.7748149671052632,0.1817349007851849,0.00442886109925881,0.625,0.22421236179384274,0.0005259122806105477,0.7834284855769231,0.23298595962762433,0.08900101752293964,0.592948314889336,0.3331806758014477,0.34186632597639577,0.31146655036407767,0.23234881546572217
13,0.23611602717623556,0.23611602717623556,0.014270965776818204,0.790728680674779,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.2806281532624012,0.005387638251572219,0.9687294407894737,0.1817349007851849,0.00442886109925881,0.625,0.26990691134757705,0.00022544511737708674,0.9441105769230769,0.2559513830870513,0.01988248964179129,0.8461236167002012,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.09282303461037367
7,0.23614113434423445,0.23614113434423445,0.013268897435970858,0.7933217266148933,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.2835397525885464,0.00534381151870178,0.9790296052631579,0.1817349007851849,0.00442886109925881,0.625,0.26990691134757705,0.00022544511737708674,0.9441105769230769,0.2531904267688993,0.013913906329577664,0.8513817278672032,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.08902965005085463
11,0.23647999985144005,0.23647999985144005,0.013219631455929253,0.794630920840217,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.2835397525885464,0.00534381151870178,0.9790296052631579,0.1817349007851849,0.00442886109925881,0.625,0.26990691134757705,0.00022544511737708674,0.9441105769230769,0.2531904267688993,0.013913906329577664,0.8513817278672032,0.14389065681106195,0.054141473540341066,0.3682636149878641,0.0882351302013488
14,0.23664673569990655,0.23664673569990655,0.01319332063192169,0.7952802733698686,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.28379917404468236,0.005336935767818403,0.9799547697368421,0.1817349007851849,0.00442886109925881,0.625,0.26990691134757705,0.00022544511737708674,0.9441105769230769,0.25393142040356226,0.013762917136415665,0.8543526785714286,0.14389065681106195,0.054141473540341066,0.3682636149878641,0.08715871278471946
12,0.23668308824566361,0.23668308824566361,0.012823350236355167,0.7963324332689347,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.2843506288234163,0.005319498773835427,0.9819284539473684,0.1817349007851849,0.00442886109925881,0.625,0.26990691134757705,0.00022544511737708674,0.9441105769230769,0.2559669109739696,0.014933780997360183,0.858549735915493,0.1415218267364631,0.05076822429998039,0.3684058328276699,0.0846298645748142
19,0.23976989575880966,0.23976989575880966,0.028149836726845612,0.7688200433387196,nan,nan,nan,nan,nan,0.28619490547753296,0.0012655400823392757,0.9985183189655172,0.26723588932522024,0.011284850318466218,0.9071134868421052,0.1817349007851849,0.00442886109925881,0.625,0.2644721639890905,0.00027905843088050445,0.9249549278846154,0.2481713942907055,0.02805174778163553,0.7984705105633803,0.19081012068512357,0.12358896264849335,0.35886301577669905,0.11282294171296652
23,0.24053321675920525,0.24053321675920525,0.09062697023379308,0.6152988330727357,nan,nan,nan,nan,nan,0.19636618313583393,0.0018882311028111686,0.6825610632183908,0.23422488517983617,0.03034904977808638,0.7439144736842105,0.1817349007851849,0.00442886109925881,0.625,0.21969378275899207,0.0006001420164349678,0.7674278846153846,0.2716385875394318,0.15354603462763916,0.5668699698189135,0.3395409611559528,0.35294950277852805,0.3060196070995146,0.2546613221099915
22,0.24107626754220143,0.24107626754220143,0.09152982141047332,0.6149423828715214,nan,nan,nan,nan,nan,0.19743740032388948,0.0018793144764337245,0.6863326149425287,0.23422412306720178,0.030347982820398234,0.7439144736842105,0.1817349007851849,0.00442886109925881,0.625,0.21969378275899207,0.0006001420164349678,0.7674278846153846,0.27232717167980036,0.15737096791711283,0.5597176810865191,0.3410402266381397,0.3545516601332014,0.3072616429004854,0.25197332110005594
24,0.242067171946742,0.242067171946742,0.08741361525192497,0.6287010636837844,nan,nan,nan,nan,nan,0.20116873484407619,0.0018589299311318828,0.6994432471264368,0.24032421169209928,0.02805751478999157,0.7709909539473684,0.1817349007851849,0.00442886109925881,0.625,0.22162587126747188,0.0006007390052298187,0.7741887019230769,0.24105504361504887,0.1036679564333018,0.5845227615694165,0.36649426947657066,0.38586769025263584,0.31806071753640774,0.23770310502560796
