trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_ot,phys_ot,patch_ot,new_loss_rotor,phys_rotor,patch_rotor,param_threshold_amr
38,0.26300124449257667,0.26300124449257667,0.1772988862120009,0.47725714019401605,nan,nan,nan,nan,nan,0.23939178195833713,0.08156449071752711,0.6339600100603622,0.28661070702681624,0.27303328170647473,0.3205542703276699,0.19863994809123467
43,0.26593657520708114,0.26593657520708114,0.19034563112587594,0.45491393541009406,nan,nan,nan,nan,nan,0.23549403095926535,0.09101269465081854,0.5966973717303823,0.296379119454897,0.28967856760093336,0.31313049908980584,0.21893235087188387
66,0.28308331771453604,0.28308331771453604,0.2154336717496677,0.4522074326267068,nan,nan,nan,nan,nan,0.23298595962762433,0.08900101752293964,0.592948314889336,0.3331806758014477,0.34186632597639577,0.31146655036407767,0.23213451727416115
65,0.3032817608511022,0.3032817608511022,0.24530859180498588,0.448214683466393,nan,nan,nan,nan,nan,0.24006925222563374,0.10474949335733592,0.5783686493963782,0.36649426947657066,0.38586769025263584,0.31806071753640774,0.23859077000416115
12,0.306330534125816,0.306330534125816,0.2540082163094295,0.43713632866678226,nan,nan,nan,nan,nan,0.2706075368944802,0.15273448022370079,0.5652901785714286,0.34205353135715183,0.35528195239515814,0.3089824787621359,0.24736842105263157
13,0.30639976054358903,0.30639976054358903,0.25392121729833583,0.4375961186567219,nan,nan,nan,nan,nan,0.2707459897300262,0.15256048220151355,0.5662097585513078,0.34205353135715183,0.35528195239515814,0.3089824787621359,0.24630631656044893
11,0.3264432882435393,0.3264432882435393,0.2864399022519101,0.42645175322261236,nan,nan,nan,nan,nan,0.2911095637232655,0.18671586406166624,0.5520938128772636,0.36177701276381313,0.38616394044215396,0.30080969356796117,0.2637244809113064
114,0.3264432882435393,0.3264432882435393,0.2864399022519101,0.42645175322261236,nan,nan,nan,nan,nan,0.2911095637232655,0.18671586406166624,0.5520938128772636,0.36177701276381313,0.38616394044215396,0.30080969356796117,0.2643573507324822
105,0.3949749927185195,0.3949749927185195,0.41044394526947775,0.3563026113411237,nan,nan,nan,nan,nan,0.36247084348627656,0.31586901488481123,0.4789754149899396,0.4274791419507624,0.5050188756541443,0.2336298076923077,0.3562638900543633
104,0.4216754529854287,0.4216754529854287,0.46934721623724834,0.30249604485587944,nan,nan,nan,nan,nan,0.30768357760292364,0.2905277066960411,0.35057325487012986,0.5356673283679337,0.6481667257784556,0.25441883484162897,0.43620599906038426
15,0.43203924936125804,0.43203924936125804,0.4421961333077473,0.4066470394950347,nan,nan,nan,nan,nan,0.29612373910263123,0.19868100637346237,0.5397305709255533,0.5679547596198848,0.6857112602420323,0.2735635080645161,0.27112082643288354
10,0.43612493240577876,0.43612493240577876,0.450832039571158,0.39935716449233033,nan,nan,nan,nan,nan,0.30578830293393416,0.21594316133084784,0.5304011569416499,0.5664615618776233,0.6857209178114683,0.26831317204301075,0.2868421052631579
7,0.43970686001504417,0.43970686001504417,0.46099009838509547,0.38649876408991585,nan,nan,nan,nan,nan,0.312952158152465,0.23625927895872265,0.5046843561368209,0.5664615618776233,0.6857209178114683,0.26831317204301075,0.30515283762056683
3,0.4402075953474419,0.4402075953474419,0.4629312486143845,0.38339846218008533,nan,nan,nan,nan,nan,0.3284626929464048,0.2586468143905602,0.503002389336016,0.5519524977484791,0.6672156828382088,0.26379453502415456,0.3258749298536406
4,0.4402075953474419,0.4402075953474419,0.4629312486143845,0.38339846218008533,nan,nan,nan,nan,nan,0.3284626929464048,0.2586468143905602,0.503002389336016,0.5519524977484791,0.6672156828382088,0.26379453502415456,0.32631578947368417
0,0.4474621274120141,0.4474621274120141,0.47218386610101426,0.3856577806895134,nan,nan,nan,nan,nan,0.3284626929464048,0.2586468143905602,0.503002389336016,0.5664615618776233,0.6857209178114683,0.26831317204301075,0.3228115420561065
1,0.4474621274120141,0.4474621274120141,0.47218386610101426,0.3856577806895134,nan,nan,nan,nan,nan,0.3284626929464048,0.2586468143905602,0.503002389336016,0.5664615618776233,0.6857209178114683,0.26831317204301075,0.31997095102348155
2,0.452185913283378,0.452185913283378,0.48132168845372053,0.3793464753575215,nan,nan,nan,nan,nan,0.33791026468913266,0.2769224590959728,0.4903797786720322,0.5664615618776233,0.6857209178114683,0.26831317204301075,0.3190322053476838
6,0.452185913283378,0.452185913283378,0.48132168845372053,0.3793464753575215,nan,nan,nan,nan,nan,0.33791026468913266,0.2769224590959728,0.4903797786720322,0.5664615618776233,0.6857209178114683,0.26831317204301075,0.31807578587009977
5,0.4524473875156616,0.4524473875156616,0.4812727624392798,0.38038395020661603,nan,nan,nan,nan,nan,0.3384332131536999,0.27682460706709133,0.4924547283702213,0.5664615618776233,0.6857209178114683,0.26831317204301075,0.3175622455547227
25,0.4558893769738883,0.4558893769738883,0.5970381762328313,0.10301737882653061,nan,nan,nan,nan,nan,0.31897833575052087,0.42509326698950467,0.05369100765306122,0.5928004181972557,0.7689830854761579,0.15234375,0.7542344004041575
76,0.4558893769738883,0.4558893769738883,0.5970381762328313,0.10301737882653061,nan,nan,nan,nan,nan,0.31897833575052087,0.42509326698950467,0.05369100765306122,0.5928004181972557,0.7689830854761579,0.15234375,0.7579486932309628
8,0.4926288936732754,0.4926288936732754,0.5459241637836727,0.35939071839728176,nan,nan,nan,nan,nan,0.4187962254689275,0.40612740975587724,0.45046826475155277,0.5664615618776233,0.6857209178114683,0.26831317204301075,0.29456244695939326
9,0.49287495614690136,0.49287495614690136,0.545657238203271,0.36091925100597744,nan,nan,nan,nan,nan,0.41928835041617946,0.4055935585950735,0.4535253299689441,0.5664615618776233,0.6857209178114683,0.26831317204301075,0.2921184950297944
75,0.5091211849248228,0.5091211849248228,0.679175908894752,0.083984375,nan,nan,nan,nan,nan,0.42544195165238996,0.589368732313346,0.015625,0.5928004181972557,0.7689830854761579,0.15234375,0.7889999379765381
14,0.5125721786088331,0.5125721786088331,0.5736106080315545,0.35997610505202937,nan,nan,nan,nan,nan,0.38825883044746545,0.3680499129282625,0.43878112424547283,0.6368855267702006,0.7791713031348465,0.28117108585858586,0.3858888374661852
