trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_vortex,phys_vortex,patch_vortex,new_loss_tearing,phys_tearing,patch_tearing,new_loss_coalescence,phys_coalescence,patch_coalescence,param_beta,param_threshold_amr,param_gamma_hydro,param_gamma_mag,param_kappa,param_w_z_frac,param_beta_grad,param_beta_curl,param_beta_xpoint
84,0.2225031064662613,0.2225031064662613,0.04363585475634958,0.6696712357410406,nan,nan,nan,nan,nan,0.21991206311909184,0.0018124726579163055,0.7651610392720306,0.27181431675639056,0.16521931977473625,0.5383018092105263,0.18695499765764284,0.006539985851134696,0.6379925271739131,0.21133104833192,0.0009716407416110762,0.7372295673076923,0.6061993204253694,0.3211678642014228,1.8828124280850762,2.5236486984536715,14.632499938831966,0.4387835660921458,0.9539914805020119,0.9383480035340207,1.6296889309341063
29,0.22252375120011847,0.22252375120011847,0.03635765085904509,0.6879390020528018,nan,nan,nan,nan,nan,0.2142767889138844,0.0018253876212005887,0.7454052921455939,0.2543989590822082,0.1351223585045652,0.5525904605263158,0.18695660953822177,0.006542242483945179,0.6379925271739131,0.2344626472661595,0.0019406148264693925,0.8157677283653846,0.5,0.3,2.0,0.5,15.0,0.2,2.0,1.0,0.5
168,0.22288626707162612,0.22288626707162612,0.01630978126305516,0.7393274815930534,nan,nan,nan,nan,nan,0.2561866499047849,0.0014594420506068748,0.8930046695402298,0.22875771887719484,0.05827067484912536,0.6549753289473684,0.1817349007851849,0.00442886109925881,0.625,0.2248657987193399,0.0010801470532295927,0.7843299278846154,0.6406998809751628,0.26760040867335344,2.0257941820188714,0.9251974033344934,14.99765529346079,0.34154311257766035,1.8373829616180894,0.4518162176485091,0.20347909533634406
5,0.2229911303235849,0.2229911303235849,0.2599380897377536,0.13062373178816294,nan,nan,nan,nan,nan,0.18380277071872375,0.12163182919778412,0.3392301245210728,0.2817128913805368,0.3710921268801199,0.058264802631578946,0.3457386584414184,0.4590341218179857,0.0625,0.08071020075366067,0.08799428105512493,0.0625,0.7659020170729317,0.6036832980170763,0.7861787293582458,3.2176779372596886,7.184613808396653,0.4053850346425618,0.8663825076346593,0.43319125381732965,0.21659562690866482
193,0.22355220185298075,0.22355220185298075,0.01726196613269858,0.7392777911536861,nan,nan,nan,nan,nan,0.2455674861104729,0.001571061014432136,0.8555585488505747,0.22897981942898857,0.06193687877953138,0.6465871710526315,0.1817349007851849,0.00442886109925881,0.625,0.23792660108727673,0.0011110636375719952,0.8299654447115384,0.5327963621647976,0.24780561513392693,2.160760657817251,0.5497125271619683,14.165540860329758,0.30146842688558234,1.6422572690552824,0.34133147552028803,1.8178778924402128
188,0.22386158849942758,0.22386158849942758,0.019595567905396374,0.7345266399845054,nan,nan,nan,nan,nan,0.2489354041495861,0.0015088474186158755,0.8675017959770115,0.23101095126776464,0.06854691072223891,0.6371710526315789,0.18814056256101716,0.007180754976728297,0.6405400815217391,0.22735943601934241,0.001145758504002422,0.7928936298076923,0.533848219972824,0.2519543906086467,1.9187588591872087,0.2719200923714984,6.156149173301325,0.227028981490345,0.9318297233502809,0.3794645395130175,0.39998168350841645
12,0.22393297831217784,0.22393297831217784,0.04001766834350921,0.6837212532338492,nan,nan,nan,nan,nan,0.23598871153897097,0.0015587651200765732,0.8220635775862069,0.25888226275749476,0.1532410889131242,0.5229851973684211,0.1817349007851849,0.00442886109925881,0.625,0.21912603816706075,0.0008419582415772642,0.7648362379807693,0.8,0.3,2.0,0.5,15.0,0.2,1.0,1.0,1.0
68,0.22434074068968202,0.22434074068968202,0.02171762397373338,0.7308985324795535,nan,nan,nan,nan,nan,0.24394293981162685,0.0015596272305303904,0.8499012212643678,0.23400655551438956,0.07917167772014536,0.62109375,0.1817349007851849,0.00442886109925881,0.625,0.23767856664752676,0.0017103298449989586,0.8275991586538461,0.6412386298027515,0.26382755748613007,1.8127055833599774,0.3265647725043277,14.276002939936804,0.35924448407850307,0.6799969772281771,0.6468414785075944,1.9056459059147557
164,0.22439019147559705,0.22439019147559705,0.03745788178627193,0.6917209656989098,nan,nan,nan,nan,nan,0.2163766604482334,0.0019036177309749922,0.7525592672413793,0.26569479987225364,0.13923423297904974,0.5818462171052632,0.19020878657644466,0.0075287142505008064,0.6469089673913043,0.22528051900545654,0.0011649621845621658,0.7855694110576923,0.557853463233488,0.26568563128877243,1.7983252116619917,0.5541093891219772,5.853456596468908,0.18583772204728302,1.7408813619878425,0.310125742415,0.19884479295587856
140,0.22464181969248584,0.22464181969248584,0.05375360732873681,0.6518623506018584,nan,nan,nan,nan,nan,0.21356332506150605,0.0031672949328517136,0.7395534003831418,0.29436136562148996,0.20605328029113856,0.5151315789473684,0.1817349007851849,0.00442886109925881,0.625,0.20890768730176246,0.001364992991698157,0.7277644230769231,0.7984930646751949,0.33192188318509097,2.209781104311487,0.5280711610794219,13.42060889506749,0.37849697250333514,1.994034044180428,0.3441437103365865,1.7014284508042652
