trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_vortex,phys_vortex,patch_vortex,new_loss_tearing,phys_tearing,patch_tearing,new_loss_coalescence,phys_coalescence,patch_coalescence,param_threshold_amr
6,0.2036910103388122,0.2036910103388122,0.013421328540836136,0.6793652148337521,nan,nan,nan,nan,nan,0.1871440282169949,0.0019441682394249961,0.6501436781609196,0.2355840758555432,0.04670092988197094,0.7077919407894737,0.1817349007851849,0.00442886109925881,0.625,0.21030103649752574,0.0006113549426897987,0.7345252403846154,0.2868421052631579
31,0.20648191276755345,0.20648191276755345,0.009394250897400426,0.6992010674429359,nan,nan,nan,nan,nan,0.19405420944849774,0.0019021863313450917,0.6744342672413793,0.23112475418724102,0.0306963663884532,0.7321957236842105,0.1817349007851849,0.00442886109925881,0.625,0.21901378664929014,0.0005495897705446049,0.7651742788461539,0.2637244809113064
5,0.20900869179697815,0.20900869179697815,0.008751923157679151,0.7096506133952255,nan,nan,nan,nan,nan,0.1984600508651432,0.0018742436249935413,0.6899245689655172,0.23614603277859236,0.028104445890029285,0.75625,0.1817349007851849,0.00442886109925881,0.625,0.21969378275899207,0.0006001420164349678,0.7674278846153846,0.24736842105263157
30,0.20933565380024097,0.20933565380024097,0.008749261802839966,0.7108016337937433,nan,nan,nan,nan,nan,0.1986652062821638,0.001874104886983315,0.6906429597701149,0.23724872537462308,0.028093939208682767,0.7601356907894737,0.1817349007851849,0.00442886109925881,0.625,0.21969378275899207,0.0006001420164349678,0.7674278846153846,0.24630631656044893
37,0.21671800662300184,0.21671800662300184,0.05136162374588673,0.6301089638157895,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.3260413323222747,0.19828352314592143,0.6454358552631579,0.1817349007851849,0.00442886109925881,0.625,0.17908170696903386,0.0007143897566473922,0.625,0.3858888374661852
32,0.21782093333013375,0.21782093333013375,0.052872826399029335,0.6301912006578947,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.3304530391508025,0.20432833375849185,0.645764802631579,0.1817349007851849,0.00442886109925881,0.625,0.17908170696903386,0.0007143897566473922,0.625,0.3864175659042981
4,0.21806575462049507,0.21806575462049507,0.008303544541078891,0.7424712798190354,nan,nan,nan,nan,nan,0.21395609125201856,0.001801458787308681,0.7443426724137931,0.24633328461403498,0.026404427407017338,0.796155427631579,0.1817349007851849,0.00442886109925881,0.625,0.2302387418307418,0.0005794308707307365,0.8043870192307693,0.20789473684210524
8,0.22449140266983703,0.22449140266983703,0.06181880255356132,0.6311729029605263,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.35713491650961565,0.2401122383766198,0.6496916118421052,0.1817349007851849,0.00442886109925881,0.625,0.17908170696903386,0.0007143897566473922,0.625,0.3657894736842105
34,0.22832570189412682,0.22832570189412682,0.06782621291493543,0.6295744243421053,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.3724721134067748,0.2641418798221162,0.643297697368421,0.1817349007851849,0.00442886109925881,0.625,0.17908170696903386,0.0007143897566473922,0.625,0.3908926762015976
3,0.23348776165208976,0.23348776165208976,0.008154210808946872,0.7968216387599469,nan,nan,nan,nan,nan,0.25461682300527655,0.0014527763453181998,0.8875269396551724,0.2555519218193228,0.02621019054705192,0.82890625,0.1817349007851849,0.00442886109925881,0.625,0.24204740099857483,0.0005250152441585592,0.8458533653846154,0.16842105263157894
